time,pos1,vel1,tau1,pos2,vel2,tau2
4.630520629882812500e+01,-8.077744716563675098e-01,-1.335164835164835750e+00,-5.599156353326611324e+00,-1.096742198825051418e-01,-9.835164835164817987e-01,-2.461743911497284554e+00
4.630854010581970215e+01,-8.123521782253764201e-01,-1.181318681318682451e+00,-5.541939139333075026e+00,-1.134889753566792336e-01,-9.175824175824160989e-01,-2.473099424653453227e+00
4.631187391281127930e+01,-8.161669336995505120e-01,-1.115384615384616751e+00,-5.706061053938938699e+00,-1.165407797360185072e-01,-1.115384615384616751e+00,-2.637214178322780267e+00
4.631520771980285645e+01,-8.196002136263071947e-01,-1.082417582417583901e+00,-5.809229101936791650e+00,-1.199740596627751898e-01,-1.214285714285715301e+00,-2.587871052899302526e+00
4.631854152679443359e+01,-8.234149691004812865e-01,-1.181318681318682451e+00,-5.767517570173930963e+00,-1.230258640421144634e-01,-9.505494505494489488e-01,-2.683656466333298241e+00
4.632187533378601074e+01,-8.272297245746553784e-01,-1.236263736263737201e+00,-5.794551669952585193e+00,-1.264591439688711461e-01,-9.175824175824160989e-01,-2.634648403447775511e+00
4.632520914077758789e+01,-8.306630045014120611e-01,-1.148351648351649601e+00,-5.897959814394328149e+00,-1.298924238956278288e-01,-9.835164835164817987e-01,-2.654472569121554049e+00
4.632854318618774414e+01,-8.348592355230035622e-01,-1.269230769230770051e+00,-5.780189976185655887e+00,-1.337071793698019206e-01,-1.115384615384616751e+00,-2.598167651146710888e+00
4.633187699317932129e+01,-8.386739909971776541e-01,-1.016483516483518201e+00,-5.876123176524560954e+00,-1.379034103913934217e-01,-1.236263736263737201e+00,-2.534398641350307013e+00
4.633521080017089844e+01,-8.424887464713517460e-01,-8.846153846153832490e-01,-5.903466404972872006e+00,-1.417181658655675136e-01,-1.148351648351649601e+00,-2.615755149473911967e+00
4.633854460716247559e+01,-8.463035019455258379e-01,-8.626373626373613490e-01,-5.930884152245991636e+00,-1.459143968871590147e-01,-1.214285714285715301e+00,-2.552315147751333058e+00
4.634187841415405273e+01,-8.497367818722825206e-01,-9.835164835164817987e-01,-6.034670417544192311e+00,-1.493476768139156974e-01,-1.269230769230770051e+00,-2.710294547465305737e+00
4.634521222114562988e+01,-8.535515373464566125e-01,-9.835164835164817987e-01,-5.993568270630944106e+00,-1.531624322880897893e-01,-1.181318681318682451e+00,-2.654810607817703172e+00
4.634854602813720703e+01,-8.573662928206307043e-01,-1.049450549450551051e+00,-6.021202902908242116e+00,-1.569771877622638812e-01,-1.148351648351649601e+00,-2.668154614664867808e+00
4.635187983512878418e+01,-8.611810482948047962e-01,-1.181318681318682451e+00,-6.048907598277330600e+00,-1.607919432364379730e-01,-1.148351648351649601e+00,-2.681660347736098515e+00
4.635521364212036133e+01,-8.649958037689788881e-01,-1.269230769230770051e+00,-6.076681236781371176e+00,-1.642252231631946557e-01,-1.016483516483518201e+00,-2.771622292297664103e+00
4.635854768753051758e+01,-8.688105592431529800e-01,-1.335164835164835750e+00,-6.104522696084167421e+00,-1.676585030899513384e-01,-1.016483516483518201e+00,-2.793079113621947940e+00
4.636188149452209473e+01,-8.726253147173270719e-01,-1.302197802197802901e+00,-6.132430851500004110e+00,-1.710917830167080211e-01,-9.835164835164817987e-01,-2.814695781056811175e+00
4.636521530151367188e+01,-8.772030212863359822e-01,-1.500000000000000000e+00,-6.007814357034419572e+00,-1.745250629434647038e-01,-1.016483516483518201e+00,-2.836471662938491622e+00
4.636854910850524902e+01,-8.813992523079274832e-01,-1.434065934065934300e+00,-6.096888608845656421e+00,-1.783398184176387957e-01,-1.214285714285715301e+00,-2.782111015641997476e+00
4.637188291549682617e+01,-8.859769588769363935e-01,-1.335164835164835750e+00,-6.041065460707468304e+00,-1.821545738918128876e-01,-1.181318681318682451e+00,-2.796573910581011013e+00
4.637521672248840332e+01,-8.894102388036930762e-01,-1.181318681318682451e+00,-6.282855413677156164e+00,-1.859693293659869795e-01,-1.214285714285715301e+00,-2.811194110148921066e+00
4.637855052947998047e+01,-8.932249942778671681e-01,-1.236263736263737201e+00,-6.242414499459581378e+00,-1.897840848401610714e-01,-1.214285714285715301e+00,-2.825970972810111004e+00
4.638188433647155762e+01,-8.966582742046238508e-01,-1.016483516483518201e+00,-6.346994192686882030e+00,-1.935988403143351633e-01,-1.148351648351649601e+00,-2.840903854579413856e+00
4.638521814346313477e+01,-9.008545052262153519e-01,-1.269230769230770051e+00,-6.230376827133898843e+00,-1.974135957885092552e-01,-1.214285714285715301e+00,-2.855992109017110536e+00
4.638855195045471191e+01,-9.046692607003894437e-01,-1.181318681318682451e+00,-6.327443383929505671e+00,-2.012283512626833470e-01,-1.236263736263737201e+00,-2.871235087233262817e+00
4.639188575744628906e+01,-9.092469672693983540e-01,-1.269230769230770051e+00,-6.203310593886420143e+00,-2.050431067368574389e-01,-1.148351648351649601e+00,-2.886632137902681805e+00
4.639522194862365723e+01,-9.130617227435724459e-01,-1.181318681318682451e+00,-6.369154543240298949e+00,-2.092393377584489400e-01,-1.214285714285715301e+00,-2.825887497773719392e+00
4.639855575561523438e+01,-9.168764782177465378e-01,-1.181318681318682451e+00,-6.397721469399744620e+00,-2.126726176852056227e-01,-1.115384615384616751e+00,-2.986551437626705052e+00
4.640188956260681152e+01,-9.214541847867554480e-01,-1.214285714285715301e+00,-6.273751198850646027e+00,-2.168688487067971238e-01,-1.214285714285715301e+00,-2.857446065298911542e+00
4.640522336959838867e+01,-9.260318913557643583e-01,-1.467032967032967150e+00,-6.287163993875577894e+00,-2.206836041809712157e-01,-1.082417582417583901e+00,-2.942118442323375938e+00
4.640855717658996582e+01,-9.302281223773558594e-01,-1.302197802197802901e+00,-6.376922611024023801e+00,-2.248798352025627167e-01,-1.181318681318682451e+00,-2.881980890656545391e+00
4.641189098358154297e+01,-9.344243533989473605e-01,-1.302197802197802901e+00,-6.398065184317368370e+00,-2.286945906767368086e-01,-1.082417582417583901e+00,-2.966954160447845545e+00
4.641522479057312012e+01,-9.378576333257040432e-01,-9.505494505494489488e-01,-6.571846371221937488e+00,-2.325093461509109005e-01,-1.269230769230770051e+00,-2.983411276842349746e+00
4.641855859756469727e+01,-9.409094377050433167e-01,-9.835164835164817987e-01,-6.684638703094115897e+00,-2.367055771725024016e-01,-1.236263736263737201e+00,-2.923722058192674833e+00
4.642189240455627441e+01,-9.447241931792174086e-01,-1.016483516483518201e+00,-6.576221285882723144e+00,-2.405203326466764935e-01,-1.082417582417583901e+00,-3.009141648895741650e+00
4.642522621154785156e+01,-9.485389486533915004e-01,-1.214285714285715301e+00,-6.605179968007552027e+00,-2.447165636682679946e-01,-1.401098901098901450e+00,-2.949747957413364929e+00
4.642856001853942871e+01,-9.527351796749830015e-01,-1.148351648351649601e+00,-6.557887274756773799e+00,-2.485313191424420864e-01,-1.269230769230770051e+00,-3.035461721896798082e+00
4.643189382553100586e+01,-9.573128862439919118e-01,-1.368131868131868600e+00,-6.503007634515463486e+00,-2.531090257114527731e-01,-1.335164835164835750e+00,-2.900065736546642459e+00
4.643522763252258301e+01,-9.618905928130008220e-01,-1.269230769230770051e+00,-6.516834984665344166e+00,-2.573052567330442741e-01,-1.302197802197802901e+00,-2.978441442768760883e+00
4.643856143951416016e+01,-9.660868238345923231e-01,-1.335164835164835750e+00,-6.606997662079701961e+00,-2.615014877546357752e-01,-1.302197802197802901e+00,-2.988296250435088286e+00
4.644189524650573730e+01,-9.706645304036012334e-01,-1.401098901098901450e+00,-6.552238673277143377e+00,-2.653162432288098671e-01,-1.401098901098901450e+00,-3.074590180168993658e+00
4.644522905349731445e+01,-9.752422369726101437e-01,-1.532967032967032850e+00,-6.566183146900067769e+00,-2.695124742504013682e-01,-1.302197802197802901e+00,-3.016066724702096913e+00
4.644856286048889160e+01,-9.798199435416190539e-01,-1.401098901098901450e+00,-6.580164304610599757e+00,-2.733272297245754601e-01,-1.236263736263737201e+00,-3.102646607940388712e+00
4.645189666748046875e+01,-9.843976501106279642e-01,-1.269230769230770051e+00,-6.594180964738217909e+00,-2.775234607461669611e-01,-1.269230769230770051e+00,-3.044407719368952492e+00
4.645523071289062500e+01,-9.878309300373846469e-01,-1.016483516483518201e+00,-6.837117272199024320e+00,-2.813382162203410530e-01,-1.214285714285715301e+00,-3.131270778193157689e+00
4.645856451988220215e+01,-9.916456855115587388e-01,-1.115384615384616751e+00,-6.797794808076717210e+00,-2.855344472419325541e-01,-1.434065934065934300e+00,-3.073313669198629139e+00
4.646189856529235840e+01,-9.954604409857328307e-01,-1.181318681318682451e+00,-6.827169888806591480e+00,-2.901121538109414644e-01,-1.302197802197802901e+00,-3.007866887942151735e+00
4.646523237228393555e+01,-9.992751964599069225e-01,-1.236263736263737201e+00,-6.856575726853150421e+00,-2.946898603799503746e-01,-1.500000000000000000e+00,-3.011224840060721775e+00
4.646856617927551270e+01,-1.003852903028915833e+00,-1.302197802197802901e+00,-6.733420912470714725e+00,-2.988860914015418757e-01,-1.368131868131868600e+00,-3.091016330322666761e+00
4.647189998626708984e+01,-1.008049134050507334e+00,-1.335164835164835750e+00,-6.823920778639990914e+00,-3.034637979705507860e-01,-1.269230769230770051e+00,-3.025984832729256002e+00
4.647523379325866699e+01,-1.012245365072098835e+00,-1.082417582417583901e+00,-6.845782225973310986e+00,-3.076600289921422871e-01,-1.214285714285715301e+00,-3.106051052503806531e+00
4.647856760025024414e+01,-1.016441596093690336e+00,-1.236263736263737201e+00,-6.867669656989329852e+00,-3.118562600137337881e-01,-1.016483516483518201e+00,-3.117587969957052341e+00
4.648190140724182129e+01,-1.020637827115281837e+00,-1.214285714285715301e+00,-6.889581873960983316e+00,-3.164339665827426984e-01,-1.214285714285715301e+00,-3.052965358713691124e+00
4.648523521423339844e+01,-1.025597009231708157e+00,-1.434065934065934300e+00,-6.758927458499877972e+00,-3.206301976043341995e-01,-1.181318681318682451e+00,-3.133438318535857636e+00
4.648856902122497559e+01,-1.030174715800717067e+00,-1.467032967032967150e+00,-6.841921735037596264e+00,-3.248264286259257005e-01,-1.335164835164835750e+00,-3.145379822843255901e+00
4.649190282821655273e+01,-1.034370946822308568e+00,-1.434065934065934300e+00,-6.932566705226028247e+00,-3.294041351949346108e-01,-1.214285714285715301e+00,-3.081159638368034415e+00
4.649523663520812988e+01,-1.038567177843900069e+00,-1.302197802197802901e+00,-6.954566055201551578e+00,-3.336003662165261119e-01,-1.302197802197802901e+00,-3.162032858007154168e+00
4.649857068061828613e+01,-1.042381933318074161e+00,-1.401098901098901450e+00,-7.052879286992430607e+00,-3.381780727855350221e-01,-1.401098901098901450e+00,-3.098077338846051187e+00
4.650190448760986328e+01,-1.046578164339665662e+00,-1.434065934065934300e+00,-7.006249375503996291e+00,-3.427557793545439324e-01,-1.434065934065934300e+00,-3.102918658283403186e+00
