time,pos1,pos2,vel1,vel2,tau1,tau2,meas_pos1,meas_pos2,meas_vel1,meas_vel2
3.900000000000002354e-01,7.612336917804227165e-02,-1.910707132384459883e-01,-8.618192052803561598e-01,1.595092271119401994e+00,0.000000000000000000e+00,-1.899020611764714594e-01,8.040463734318083200e-02,-1.990719446027761075e-01,-5.260318983974276996e-01,1.650443249910697130e+00
3.950000000000002398e-01,7.178209676942087780e-02,-1.830278104937695660e-01,-8.743606219725770234e-01,1.621422057280061724e+00,0.000000000000000000e+00,-1.505276814690595932e-01,7.606674039280152122e-02,-1.911527604106408595e-01,-9.091401107727744568e-01,1.567757050426739962e+00
4.000000000000002442e-01,6.736796774697846601e-02,-1.748318705560686637e-01,-8.909570561281876522e-01,1.656297641124638176e+00,0.000000000000000000e+00,-1.324310596921116634e-01,7.174790163443553470e-02,-1.830592323702202873e-01,-9.787012054428291252e-01,1.487526808278943458e+00
4.050000000000002487e-01,6.286894128255295089e-02,-1.664571270896111899e-01,-9.083107948319927294e-01,1.692925651135815501e+00,0.000000000000000000e+00,-2.454019027621981430e-01,6.727177494036434835e-02,-1.749747519437859222e-01,-1.236893941896131999e+00,1.476619802139277127e+00
4.100000000000002531e-01,5.833205379226071713e-02,-1.579995404710786977e-01,-9.060811531642495309e-01,1.689392606375236250e+00,0.000000000000000000e+00,-2.403270738423384789e-01,6.270644751137442741e-02,-1.663902516919073538e-01,-1.084898825634358577e+00,1.887860408035535897e+00
4.150000000000002576e-01,5.380979941202566896e-02,-1.495663254430039391e-01,-9.024566743332244068e-01,1.683175015620918424e+00,0.000000000000000000e+00,-2.312528140849314517e-01,5.831991529233827853e-02,-1.579501028604264889e-01,-7.490272672410925869e-01,1.909889112602569439e+00
4.200000000000002620e-01,4.930759809103113511e-02,-1.411677052984546821e-01,-8.980601398403171842e-01,1.675554878450293161e+00,0.000000000000000000e+00,-7.529620177715617979e-02,5.384042372989607250e-02,-1.496534307228477023e-01,-7.601122908063683292e-01,1.921461112725776799e+00
4.250000000000002665e-01,4.477194576327747644e-02,-1.326924954538216406e-01,-9.158460556354653948e-01,1.713830017119250648e+00,0.000000000000000000e+00,-8.030335790054550504e-02,4.945043136950381252e-02,-1.412604647656934831e-01,-1.014851439023551904e+00,1.478532241827743565e+00
4.300000000000002709e-01,4.015470200790847294e-02,-1.240405506302809102e-01,-9.306855541032448276e-01,1.746226059227767413e+00,0.000000000000000000e+00,-5.340616235366940634e-02,4.491546277384320107e-02,-1.324846507529589268e-01,-9.370996102800268623e-01,1.533213063128645581e+00
4.350000000000002753e-01,3.545824074027809081e-02,-1.152158003854795026e-01,-9.475247548246451545e-01,1.782935357362967377e+00,0.000000000000000000e+00,-2.048946528858984484e-02,4.020221727995818700e-02,-1.241365104277867282e-01,-7.515152836533866010e-01,1.474979062983328815e+00
4.400000000000002798e-01,3.067029798929627599e-02,-1.061920064367765371e-01,-9.672688440744829919e-01,1.825824726480341331e+00,0.000000000000000000e+00,-2.282298217639669446e-01,3.559854757986397750e-02,-1.152809267201672372e-01,-1.056976795588171480e+00,1.438536898797202923e+00
