time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
2.479131937026977539e+00,1.466773479819938331e-01,3.795681696803221428e-02,1.716559748470051439e+00,-2.860932914116752546e+00,1.432440680552371504e-01,4.367895017929335211e-02,2.024249213996964336e+00,-2.747195361853022710e+00,1.770279999999999909e-01,-1.888360000000000039e-01,1.243710000000000093e+00,-2.458369999999999944e+00,1.400707795905323794e-01,-1.892433149428469075e-01,2.522844963269883500e-01,-1.907408217892466729e-01,1.728937728937722795e-01,-1.846153846153839595e-01,0.000000000000000000e+00,-2.005919999999999925e-01,2.085536198239944400e-38,1.712897772585543749e-17
2.481798410415649414e+00,1.516365300984201525e-01,3.109025711451884888e-02,1.859828092601518046e+00,-2.575146589755947790e+00,1.466773479819938331e-01,3.795681696803221428e-02,1.716559748470051439e+00,-2.860932914116752546e+00,1.782710000000000128e-01,-1.912929999999999908e-01,1.241030000000000078e+00,-2.457399999999999807e+00,1.347074144710232180e-01,-2.059751056145235348e-01,2.522930220327265771e-01,-1.907137402533522208e-01,1.670329670329664395e-01,-1.963369963369956395e-01,0.000000000000000000e+00,-2.026769999999999960e-01,2.729918643263429179e-38,1.433485319912256150e-17
2.483978033065795898e+00,1.554512855725942444e-01,2.498664835584030186e-02,1.750190783674282491e+00,-2.800305253878851985e+00,1.516365300984201525e-01,3.109025711451884888e-02,1.859828092601518046e+00,-2.575146589755947790e+00,1.795100000000000029e-01,-1.937500000000000056e-01,1.238320000000000087e+00,-2.456409999999999982e+00,1.382299651302514032e-01,-2.075255682281165470e-01,2.522674307178101039e-01,-1.907446275700363236e-01,1.611721611721605996e-01,-1.846153846153839595e-01,0.000000000000000000e+00,-2.047650000000000026e-01,3.571898475787870095e-38,1.199155435025293953e-17
2.485978126525878906e+00,1.588845654993509271e-01,2.002746623941398241e-02,1.716559748470051439e+00,-2.479475192234518843e+00,1.554512855725942444e-01,2.498664835584030186e-02,1.750190783674282491e+00,-2.800305253878851985e+00,1.807469999999999910e-01,-1.962059999999999915e-01,1.235600000000000032e+00,-2.455389999999999961e+00,1.424141354360758394e-01,-2.290760817585366371e-01,2.522368037392317963e-01,-1.906944155954031495e-01,1.670329670329664395e-01,-1.787545787545781195e-01,0.000000000000000000e+00,-2.068540000000000101e-01,4.671603102269852298e-38,1.002716440914447335e-17
2.487978219985961914e+00,1.623178454261076098e-01,1.468680857557025377e-02,1.716559748470051439e+00,-2.670204053175635472e+00,1.588845654993509271e-01,2.002746623941398241e-02,1.716559748470051439e+00,-2.479475192234518843e+00,1.819810000000000039e-01,-1.986610000000000043e-01,1.232860000000000067e+00,-2.454340000000000188e+00,1.456532865840009239e-01,-2.367881342435493308e-01,2.522121350352443114e-01,-1.906988083753672625e-01,1.670329670329664395e-01,-1.728937728937722795e-01,0.000000000000000000e+00,-2.089459999999999928e-01,6.107313302330399903e-38,8.381103749206684931e-18
2.489978313446044922e+00,1.657511253528642925e-01,8.964675364309115935e-03,1.716559748470051439e+00,-2.860932914116752546e+00,1.623178454261076098e-01,1.468680857557025377e-02,1.716559748470051439e+00,-2.670204053175635472e+00,1.832129999999999870e-01,-2.011149999999999882e-01,1.230099999999999971e+00,-2.453260000000000218e+00,1.481651512202438181e-01,-2.334224702764791104e-01,2.521922900802804901e-01,-1.907468535314329749e-01,1.553113553113547596e-01,-1.611721611721605996e-01,0.000000000000000000e+00,-2.110390000000000044e-01,7.980900399996989005e-38,7.002364649711749959e-18
2.491978406906127930e+00,1.691844052796209752e-01,3.624017700465387293e-03,1.716559748470051439e+00,-2.670204053175635472e+00,1.657511253528642925e-01,8.964675364309115935e-03,1.716559748470051439e+00,-2.860932914116752546e+00,1.844419999999999948e-01,-2.035679999999999990e-01,1.227319999999999967e+00,-2.452150000000000052e+00,1.492841041896658394e-01,-2.437305174984233103e-01,2.521763421143976003e-01,-1.907407618965409613e-01,1.670329670329664395e-01,-1.728937728937722795e-01,0.000000000000000000e+00,-2.131339999999999901e-01,1.042487873775453758e-37,5.848017377549775436e-18
2.493978500366210938e+00,1.726176852063776579e-01,-2.098115510795750538e-03,1.716559748470051439e+00,-2.860932914116752546e+00,1.691844052796209752e-01,3.624017700465387293e-03,1.716559748470051439e+00,-2.670204053175635472e+00,1.856679999999999997e-01,-2.060190000000000077e-01,1.224520000000000053e+00,-2.451020000000000199e+00,1.501254232142992251e-01,-2.424847442645486906e-01,2.521635368147549516e-01,-1.907802834710628226e-01,1.494505494505489196e-01,-1.904761904761897995e-01,0.000000000000000000e+00,-2.152310000000000056e-01,1.361154937082955547e-37,4.881946448501475136e-18
2.496720552444458008e+00,1.771953917753865682e-01,-1.049057755397875269e-02,1.669445524147495696e+00,-3.060650127603742110e+00,1.726176852063776579e-01,-2.098115510795750538e-03,1.716559748470051439e+00,-2.860932914116752546e+00,1.868910000000000016e-01,-2.084699999999999886e-01,1.221700000000000008e+00,-2.449860000000000149e+00,1.531122702753849041e-01,-2.351002750914742145e-01,2.521388528653512595e-01,-1.908579825959960119e-01,1.553113553113547596e-01,-2.315018315018306794e-01,0.000000000000000000e+00,-2.173289999999999944e-01,1.776484993741098337e-37,4.073782077720717407e-18
2.498720645904541016e+00,1.810101472495606600e-01,-1.583123521782248133e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.771953917753865682e-01,-1.049057755397875269e-02,1.669445524147495696e+00,-3.060650127603742110e+00,1.881110000000000004e-01,-2.109189999999999954e-01,1.218869999999999898e+00,-2.448669999999999902e+00,1.383834286417642279e-01,-2.495826999964118331e-01,2.521915590734852275e-01,-1.908297968304709658e-01,1.435897435897430796e-01,-2.197802197802189994e-01,0.000000000000000000e+00,-2.194290000000000129e-01,2.317570496921552521e-37,3.397997073227014110e-18
