time, pos1, pos2, vel1, vel2, tau1, tau2, K11, K12, K13, K14, K21, K22, K23, K24, k1, k2
0.58, 0.172805, -0.641414, 0.843852, -3.74633, 0, -0.626947, 0, 0, 0, 0, 0.00125454, 0.0394115, -0.0039713, -0.00468751, 0, -2.57909e-07
0.585, 0.177015, -0.660199, 0.839883, -3.76688, 0, -0.637469, 0, 0, 0, 0, 0.00113385, 0.0400602, -0.00415188, -0.00517163, 0, -2.71343e-07
0.59, 0.181203, -0.679082, 0.835077, -3.78525, 0, -0.647552, 0, 0, 0, 0, 0.0010226, 0.0404636, -0.0043211, -0.00566747, 0, -2.84517e-07
0.595, 0.185365, -0.698052, 0.829415, -3.80134, 0, -0.657166, 0, 0, 0, 0, 0.000924622, 0.0406277, -0.00447915, -0.00617326, 0, -2.97423e-07
0.6, 0.189497, -0.717095, 0.82288, -3.81507, 0, -0.666286, 0, 0, 0, 0, 0.000843363, 0.0405601, -0.00462632, -0.00668724, 0, -3.10052e-07
0.605, 0.193593, -0.736201, 0.815458, -3.82635, 0, -0.674888, 0, 0, 0, 0, 0.000781893, 0.0402699, -0.00476298, -0.00720772, 0, -3.22398e-07
0.61, 0.19765, -0.755357, 0.807136, -3.83511, 0, -0.682949, 0, 0, 0, 0, 0.000742921, 0.0397674, -0.00488955, -0.00773304, 0, -3.34457e-07
0.615, 0.201664, -0.774551, 0.797906, -3.84128, 0, -0.690449, 0, 0, 0, 0, 0.000728803, 0.0390638, -0.00500654, -0.00826159, 0, -3.46223e-07
0.62, 0.205629, -0.793768, 0.787762, -3.84477, 0, -0.69737, 0, 0, 0, 0, 0.000741559, 0.0381713, -0.00511449, -0.00879181, 0, -3.57695e-07
0.625, 0.20954, -0.812996, 0.7767, -3.84554, 0, -0.703695, 0, 0, 0, 0, 0.000782886, 0.0371028, -0.00521402, -0.00932219, 0, -3.68871e-07
0.63, 0.213395, -0.832221, 0.76472, -3.84352, 0, -0.709412, 0, 0, 0, 0, 0.000854174, 0.0358718, -0.00530573, -0.00985129, 0, -3.79749e-07
