time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
4.700709033881528276e-02,5.257894949302767407e-03,2.058981525606027874e-01,4.625730628442164871e+00,6.788997352035538668e+00,-1.384957023059550825e-02,-1.856926060939751225e-02,-7.406933060487670417e-01,-1.686628632354101143e+01,-3.591446556730880957e+01,-3.890496506701370261e-01
4.800724119708794924e-02,5.481723524631952442e-03,2.105279375977849865e-01,4.632403835826758964e+00,6.555404303769714502e+00,-1.414424193762945682e-02,-1.936654262333231333e-02,-7.575799794087743066e-01,-1.690184616079425339e+01,-3.519448156624413571e+01,-3.906673197511006945e-01
4.900739205536061571e-02,5.710119552996887476e-03,2.151642800172940961e-01,4.638843414923643493e+00,6.321811255503892113e+00,-1.443891364466340539e-02,-2.018052708279468449e-02,-7.745018578699061074e-01,-1.693668590543088825e+01,-3.447449756517946184e+01,-3.922849888320643630e-01
5.000754291363328219e-02,5.943077066037453018e-03,2.198069461555975934e-01,4.645049365732819346e+00,6.088218207238069724e+00,-1.473358535169735396e-02,-2.101121058811623865e-02,-7.914582212309140274e-01,-1.697080555745092312e+01,-3.375451356411479509e+01,-3.939026579130280314e-01
5.100769377190594867e-02,6.180590095393529576e-03,2.244557023491630943e-01,4.651021688254284747e+00,5.854625158972247334e+00,-1.502825705873130253e-02,-2.185858973962857832e-02,-8.084483492905494284e-01,-1.700420511685434377e+01,-3.303452956305012123e+01,-3.955203269939917554e-01
5.200784463017861514e-02,6.422652672704996790e-03,2.291103149344580758e-01,4.656760382488041472e+00,5.621032110706424945e+00,-1.532292876576525111e-02,-2.272266113766331641e-02,-8.254715218475638938e-01,-1.703688458364115732e+01,-3.231454556198544736e+01,-3.971379960749554239e-01
5.300799548845127468e-02,6.669258829611735169e-03,2.337705502479500430e-01,4.662265448434086856e+00,5.387439062440604332e+00,-1.561760047279919794e-02,-2.360342138255205544e-02,-8.425270187007085632e-01,-1.706884395781136377e+01,-3.159456156092078061e+01,-3.987556651559190923e-01
5.400814634672394116e-02,6.920402597753625221e-03,2.384361746261065840e-01,4.667536886092424453e+00,5.153846014174781942e+00,-1.591227217983314651e-02,-2.450086707462641872e-02,-8.596141196487354641e-01,-1.710008323936496311e+01,-3.087457755985611385e+01,-4.003733342368827608e-01
5.500829720499660763e-02,7.176078008770548321e-03,2.431069544053952036e-01,4.672574695463051597e+00,4.920252965908957776e+00,-1.620694388686709508e-02,-2.541499481421799836e-02,-8.767321044903955141e-01,-1.713060242830195534e+01,-3.015459355879143999e+01,-4.019910033178464293e-01
5.600844806326927411e-02,7.436279094302384977e-03,2.477826559222834624e-01,4.677378876545968289e+00,4.686659917643135387e+00,-1.650161559390104365e-02,-2.634580120165842115e-02,-8.938802530244405187e-01,-1.716040152462234047e+01,-2.943460955772677323e+01,-4.036086723988101532e-01
5.700859892154194059e-02,7.700999885989015699e-03,2.524630455132388374e-01,4.681949429341177193e+00,4.453066869377312997e+00,-1.679628730093499223e-02,-2.729328283727927920e-02,-9.110578450496218395e-01,-1.718948052832611850e+01,-2.871462555666209937e+01,-4.052263414797738217e-01
5.800874977981460706e-02,7.970234415470317524e-03,2.571478895147288890e-01,4.686286353848675645e+00,4.219473821111490608e+00,-1.709095900796894080e-02,-2.825743632141218542e-02,-9.282641603646909489e-01,-1.721783943941328587e+01,-2.799464155559742551e+01,-4.068440105607374901e-01
5.900890063808727354e-02,8.243976714386175297e-03,2.618369542632211222e-01,4.690389650068464533e+00,3.985880772845668218e+00,-1.738563071500288937e-02,-2.923825825438875620e-02,-9.454984787683994307e-01,-1.724547825788385325e+01,-2.727465755453275875e+01,-4.084616796417012141e-01
6.000905149635993308e-02,8.522220814376464323e-03,2.665300060951831251e-01,4.694259318000544745e+00,3.752287724579847605e+00,-1.768030242203683794e-02,-3.023574523654058710e-02,-9.627600800594984243e-01,-1.727239698373780641e+01,-2.655467355346809200e+01,-4.100793487226648271e-01
6.100920235463259955e-02,8.804960747081071182e-03,2.712268113470823749e-01,4.697895357644913616e+00,3.518694676314025216e+00,-1.797497412907078651e-02,-3.124989386819929799e-02,-9.800482440367395132e-01,-1.729859561697515247e+01,-2.583468955240341813e+01,-4.116970178036285510e-01
6.200935321290526603e-02,9.092190544139873778e-03,2.759271363553864598e-01,4.701297769001573812e+00,3.285101628048202826e+00,-1.826964583610473508e-02,-3.228070074969650177e-02,-9.973622504988746140e-01,-1.732407415759589497e+01,-2.511470555133875138e+01,-4.133146868845922195e-01
6.300950407117793250e-02,9.383904237192750020e-03,2.806307474565628013e-01,4.704466552070524443e+00,3.051508579782378661e+00,-1.856431754313868365e-02,-3.332816248136379750e-02,-1.014701379244654422e+00,-1.734883260560002682e+01,-2.439472155027407752e+01,-4.149323559655558880e-01
6.400965492945059898e-02,9.680095857879586485e-03,2.853374109870790987e-01,4.707401706851764622e+00,2.817915531516556271e+00,-1.885898925017263222e-02,-3.439227566353280502e-02,-1.032064910072830966e+00,-1.737287096098755157e+01,-2.367473754920940365e+01,-4.165500250465196119e-01
6.500980578772326546e-02,9.980759437840255877e-03,2.900468932834026625e-01,4.710103233345296125e+00,2.584322483250733882e+00,-1.915366095720658079e-02,-3.547303689653510950e-02,-1.049452122782155605e+00,-1.739618922375847276e+01,-2.295475354814473690e+01,-4.181676941274832804e-01
6.600995664599593193e-02,1.028588900871464304e-02,2.947589606820012476e-01,4.712571131551118064e+00,2.350729434984911492e+00,-1.944833266424052937e-02,-3.657044278070234467e-02,-1.066862297171379481e+00,-1.741878739391278330e+01,-2.223476954708006303e+01,-4.197853632084469488e-01
6.701010750426859841e-02,1.059547860214262935e-02,2.994733795193421644e-01,4.714805401469230439e+00,2.117136386719089103e+00,-1.974300437127447794e-02,-3.768448991636610956e-02,-1.084294713039254621e+00,-1.744066547145048318e+01,-2.151478554601538917e+01,-4.214030322894106173e-01
6.801025836254126489e-02,1.090952224976409271e-02,3.041899161318931677e-01,4.716806043099633250e+00,1.883543338453266713e+00,-2.003767607830842651e-02,-3.881517490385802405e-02,-1.101748650184532163e+00,-1.746182345637158306e+01,-2.079480154495072242e+01,-4.230207013703742858e-01
6.901040922081393136e-02,1.122801398321891277e-02,3.089083368561216791e-01,4.718573056442325608e+00,1.649950290187444324e+00,-2.033234778534237508e-02,-3.996249434350967328e-02,-1.119223388405963471e+00,-1.748226134867606874e+01,-2.007481754388604855e+01,-4.246383704513380097e-01
7.001056007908659784e-02,1.155094783414697263e-02,3.136284080284951759e-01,4.720106441497309291e+00,1.416357241921620158e+00,-2.062701949237632365e-02,-4.112644483565267711e-02,-1.136718207502300126e+00,-1.750197914836395086e+01,-1.935483354282137469e+01,-4.262560395323016782e-01
7.101071093735926432e-02,1.187831783418815193e-02,3.183498959854812460e-01,4.721406198264583409e+00,1.182764193655799545e+00,-2.092169119941027222e-02,-4.230702298061865541e-02,-1.154232387272293714e+00,-1.752097685543522587e+01,-1.863484954175670794e+01,-4.278737086132653467e-01
7.201086179563193079e-02,1.221011801498233032e-02,3.230725670635474223e-01,4.722472326744147963e+00,9.491711453899753792e-01,-2.121636290644422079e-02,-4.350422537873920026e-02,-1.171765207514695373e+00,-1.753925446988989378e+01,-1.791486554069203407e+01,-4.294913776942290151e-01
7.301101265390458339e-02,1.254634240816938397e-02,3.277961875991611262e-01,4.723304826936002065e+00,7.155780971241547661e-01,-2.151103461347816242e-02,-4.471804863034592459e-02,-1.189315948028256908e+00,-1.755681199172794749e+01,-1.719488153962737442e+01,-4.311090467751926836e-01
7.401116351217724987e-02,1.288698504538920292e-02,3.325205239287901682e-01,4.723903698840147491e+00,4.819850488583341530e-01,-2.180570632051211100e-02,-4.594848933577045519e-02,-1.206883888611729239e+00,-1.757364942094940119e+01,-1.647489753856270056e+01,-4.327267158561563520e-01
7.501131437044991634e-02,1.323203995828166508e-02,3.372453423889018032e-01,4.724268942456582465e+00,2.483920005925099872e-01,-2.210037802754605957e-02,-4.719554409534437722e-02,-1.224468309063864835e+00,-1.758976675755424424e+01,-1.575491353749803380e+01,-4.343443849371200205e-01
7.601146522872258282e-02,1.358150117848664490e-02,3.419704093159636749e-01,4.724400557785308763e+00,1.479895232668937410e-02,-2.239504973458000814e-02,-4.845920950939931748e-02,-1.242068489183414393e+00,-1.760516400154248018e+01,-1.503492953643335994e+01,-4.359620540180837445e-01
7.701161608699524930e-02,1.393536273764402721e-02,3.466954910464433715e-01,4.724298544826324608e+00,-2.187940959391347917e-01,-2.268972144161395671e-02,-4.973948217826688195e-02,-1.259683708769129717e+00,-1.761984115291411257e+01,-1.431494553536868608e+01,-4.375797230990474129e-01
7.801176694526791577e-02,1.429361866739369338e-02,3.514203539168082591e-01,4.723962903579631778e+00,-4.523871442049554048e-01,-2.298439314864790528e-02,-5.103635870227866272e-02,-1.277313247619761727e+00,-1.763379821166913075e+01,-1.359496153430401932e+01,-4.391973921800110814e-01
7.901191780354058225e-02,1.465626299937552134e-02,3.561447642635259814e-01,4.723393634045228495e+00,-6.859801924707795706e-01,-2.327906485568185385e-02,-5.234983568176628660e-02,-1.294956385534062449e+00,-1.764703517780754893e+01,-1.287497753323934546e+01,-4.408150612609748054e-01
8.001206866181324873e-02,1.502328976522939244e-02,3.608684884230640710e-01,4.722590736223115648e+00,-9.195732407366001837e-01,-2.357373656271580242e-02,-5.367990971706135261e-02,-1.312612402310783244e+00,-1.765955205132935291e+01,-1.215499353217467871e+01,-4.424327303419384183e-01
8.101221952008591520e-02,1.539469299659518460e-02,3.655912927318900607e-01,4.721554210113293237e+00,-1.153166289002424350e+00,-2.386840826974975099e-02,-5.502657740849548063e-02,-1.330280577748675475e+00,-1.767134883223455688e+01,-1.143500953111000484e+01,-4.440503994229021423e-01
8.201237037835858168e-02,1.577046672511278266e-02,3.703129435264714275e-01,4.720284055715762150e+00,-1.386759337268248515e+00,-2.416307997678369957e-02,-5.638983535640026273e-02,-1.347960191646490502e+00,-1.768242552052314664e+01,-1.071502553004533098e+01,-4.456680685038658107e-01
8.301252123663124816e-02,1.615060498242206627e-02,3.750332071432756487e-01,4.718780273030521499e+00,-1.620352385534069128e+00,-2.445775168381764814e-02,-5.776968016110732573e-02,-1.365650523802980132e+00,-1.769278211619512930e+01,-9.995041528980664225e+00,-4.472857375848294792e-01
8.401267209490391463e-02,1.653510180016291159e-02,3.797518499187704233e-01,4.717042862057570396e+00,-1.853945433799893294e+00,-2.475242339085159671e-02,-5.916610842294826172e-02,-1.383350854016895282e+00,-1.770241861925050841e+01,-9.275057527915990363e+00,-4.489034066657932032e-01
8.501282295317658111e-02,1.692395120997520347e-02,3.844686381894232285e-01,4.715071822796910617e+00,-2.087538482065713907e+00,-2.504709509788554528e-02,-6.057911674225469056e-02,-1.401060462086987979e+00,-1.771133502968927687e+01,-8.555073526851316501e+00,-4.505210757467568716e-01
8.601297381144924759e-02,1.731714724349881634e-02,3.891833382917014861e-01,4.712867155248539497e+00,-2.321131530331538073e+00,-2.534176680491949385e-02,-6.200870171935821823e-02,-1.418778627812009585e+00,-1.771953134751143821e+01,-7.835089525786649745e+00,-4.521387448277205401e-01
8.701312466972191406e-02,1.771468393237364547e-02,3.938957165620727841e-01,4.710428859412459701e+00,-2.554724578597358686e+00,-2.563643851195344242e-02,-6.345485995459046458e-02,-1.436504630990711240e+00,-1.772700757271699601e+01,-7.115105524721975883e+00,-4.537564139086842641e-01
8.801327552799456666e-02,1.811655530823954446e-02,3.986055393370045996e-01,4.707756935288670341e+00,-2.788317626863179299e+00,-2.593111021898738752e-02,-6.491758804828300089e-02,-1.454237751421844305e+00,-1.773376370530594315e+01,-6.395121523657316231e+00,-4.553740829896478770e-01
